Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
8,59,Mason Patel,Lucas Moore,In Play Fly Out,89.3989,4.718,17.0982,91.3016,36.603,323.1705,,,,,True,Burress Drew,99.99,78.95,37.4105,1.221,1.47,,,,11.8208
8,60,Mason Patel,Alex Alicea,Strike Looking,81.6471,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,60,Mason Patel,Alex Alicea,Ball,82.234,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,60,Mason Patel,Alex Alicea,Ball,91.7921,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,60,Mason Patel,Alex Alicea,Strike Looking,82.99,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,60,Mason Patel,Alex Alicea,Foul Ball,82.734,,1.0123,,,,,,,,False,,,,,,,,,,
8,60,Mason Patel,Alex Alicea,In Play Ground Out,81.4562,4.282,18.3431,44.2738,-15.9778,7.9595,,,,,True,Hernandez Alex,,99.50,23.561,1.056,1.2626,0.693,77.0694,60.5777,10.1934
8,61,Mason Patel,Zion Rose,Ball,88.4994,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,61,Mason Patel,Zion Rose,Ball,82.9031,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,61,Mason Patel,Zion Rose,Strike Swinging,83.8823,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
8,61,Mason Patel,Zion Rose,In Play Fly Out,90.6311,,15.9508,68.7362,45.4274,237.6185,,,,,True,Burress Drew,88.81,93.83,81.2851,1.617,27.6002,,,,18.5305
8,62,Wyatt Danilowicz,Caleb Daniel,Ball,79.904,,,,,,,,,,True,Baker George,,,,,,,,,
8,62,Wyatt Danilowicz,Caleb Daniel,Foul Ball,89.2371,,,,,,,,,,False,,,,,,,,,,
8,62,Wyatt Danilowicz,Caleb Daniel,Strike Looking,88.9822,,,,,,,,,,True,Baker George,,,,,,,,,
8,62,Wyatt Danilowicz,Caleb Daniel,Ball,83.278,,,,,,,,,,True,Baker George,,,,,,,,,
8,62,Wyatt Danilowicz,Caleb Daniel,Ball,82.3272,,,,,,,,,,True,Baker George,,,,,,,,,
8,62,Wyatt Danilowicz,Caleb Daniel,Strike Swinging Strike Out Swinging,89.2616,,,,,,,,,,True,Baker George,,,,,,,,,
8,63,Wyatt Danilowicz,Vahn Lackey,Strike Swinging,90.6735,,,,,,,,,,True,Baker George,,,,,,,,,
8,63,Wyatt Danilowicz,Vahn Lackey,Strike Looking,77.3757,,,,,,,,,,True,Baker George,,,,,,,,,
8,63,Wyatt Danilowicz,Vahn Lackey,Strike Swinging Strike Out Swinging,89.1799,,,,,,,,,,True,Baker George,,,,,,,,,
8,64,Wyatt Danilowicz,Parker Brosius,Ball,77.558,,,,,,,,,,True,Baker George,,,,,,,,,
8,64,Wyatt Danilowicz,Parker Brosius,Ball,89.5397,,,,,,,,,,True,Baker George,,,,,,,,,
8,64,Wyatt Danilowicz,Parker Brosius,Ball,89.6432,,,,,,,,,,True,Baker George,,,,,,,,,
8,64,Wyatt Danilowicz,Parker Brosius,Strike Looking,91.4203,,,,,,,,,,True,Baker George,,,,,,,,,
8,64,Wyatt Danilowicz,Parker Brosius,Ball Walk,88.5514,,,,,,,,,,True,Baker George,,,,,,,,,
8,65,Wyatt Danilowicz,Carson Kerce,Ball,90.2333,,,,,,,12.4712,12.7042,15.9726,True,Baker George,,,,,,,,,
8,65,Wyatt Danilowicz,Carson Kerce,Ball,89.5996,,,,,,,10.7048,12.5504,15.4455,True,Baker George,,,,,,,,,
8,65,Wyatt Danilowicz,Carson Kerce,Strike Looking,89.848,,,,,,,11.6713,12.1054,14.583,True,Baker George,,,,,,,,,
8,65,Wyatt Danilowicz,Carson Kerce,Foul Ball,77.042,,,,,,,11.7397,11.9089,15.387,False,,,,,,,,,,
