Inning,AtBat,PitcherName,BatterName,Result,PitchVelo,BatterTimeToFirst,BatterTop,ExitVelo,LaunchAng,ActualDistance,BaserunnerMaxSpeed,BaserunnerInitial,BaserunnerSecondary,BaserunnerFinal,IsEventPlayer,EventPlayerName,FielderProbability,FielderRouteEfficiency,FielderMove,FielderReaction,FielderReactionAngle,FielderTransfer,FielderThrow,FielderThrowDistance,FielderMaxSpeed
5,38,TJ Schlageter,Kent Schmidt,Strike Looking,87.685,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,38,TJ Schlageter,Kent Schmidt,Ball,74.876,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,38,TJ Schlageter,Kent Schmidt,In Play Fly Out,71.0385,5.151,15.4372,104.6511,24.2702,312.516,,,,,True,Moore Lucas,99.48,70.66,30.93,1.155,39.0323,,,,11.0158
5,39,TJ Schlageter,Kyle Lodise,Ball,88.7986,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,39,TJ Schlageter,Kyle Lodise,Ball,76.4394,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,39,TJ Schlageter,Kyle Lodise,Ball,87.5323,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,39,TJ Schlageter,Kyle Lodise,Strike Looking,88.1502,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,39,TJ Schlageter,Kyle Lodise,Ball Walk,87.8002,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
5,40,TJ Schlageter,Alex Hernandez,Ball,74.9324,,,,,,,12.0708,13.7928,17.5442,True,Tyson Tagger,,,,,,,,,
5,40,TJ Schlageter,Alex Hernandez,Strike Swinging,77.0483,,,,,,,12.3906,13.207,17.498,True,Tyson Tagger,,,,,,,,,
5,40,TJ Schlageter,Alex Hernandez,In Play Single,87.0493,4.549,19.5175,99.4336,5.7593,54.5779,14.6692,12.3387,14.143,17.2769,True,Schlageter TJ,,,,,,,,,4.9524
5,41,Ty Starke,Caleb Daniel,Ball,84.3663,,,,,,,14.6165,14.4481,14.3994,True,Tyson Tagger,,,,,,,,,
5,41,Ty Starke,Caleb Daniel,Foul Ball,74.7321,,,,,,,15.8744,17.4032,17.9348,False,,,,,,,,,,
5,41,Ty Starke,Caleb Daniel,Foul Ball,74.1641,,,,,,,15.1451,18.3765,20.4695,False,,,,,,,,,,
5,41,Ty Starke,Caleb Daniel,Strike Looking Strike Out Looking,85.1508,,,,,,,16.7745,18.7407,19.4289,True,Tyson Tagger,,,,,,,,,
6,42,Brady Jones,Lucas Moore,Foul Ball,92.995,,,,,,,,,,False,,,,,,,,,,
6,42,Brady Jones,Lucas Moore,Strike Looking,94.722,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
6,42,Brady Jones,Lucas Moore,Foul Ball,94.2923,,,,,,,,,,False,,,,,,,,,,
6,42,Brady Jones,Lucas Moore,Ball,95.2515,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
6,42,Brady Jones,Lucas Moore,Strike Swinging Strike Out Swinging,84.2148,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
6,43,Brady Jones,Alex Alicea,In Play Fly Out,88.9992,5.378,15.2898,86.5212,33.1368,289.413,,,,,True,Daniel Caleb,99.99,32.49,4.9731,1.815,54.6144,,,,4.1545
6,44,Brady Jones,Zion Rose,Ball,88.6956,,,,,,,,,,True,Lackey Vahn,,,,,,,,,
6,44,Brady Jones,Zion Rose,Foul Ball,85.0925,,,,,,,,,,False,,,,,,,,,,
6,44,Brady Jones,Zion Rose,In Play Ground Out,93.7833,,14.5259,91.7755,1.4519,67.038,,,,,True,Schmidt Kent,,61.48,,,,,,,9.0723
6,45,Ty Starke,Vahn Lackey,Strike Looking,83.9583,,,,,,,,,,True,Tyson Tagger,,,,,,,,,
6,45,Ty Starke,Vahn Lackey,In Play Single,85.7572,4.49,18.3465,85.865,7.4645,137.4611,,,,,True,Alicea Alex,,,9.3952,1.122,5.8829,,,,10.0673
6,46,Ty Starke,John Giesler,Foul Ball,70.6809,,0.1425,,,,5.3811,10.8708,12.1976,15.6663,False,,,,,,,,,,
6,46,Ty Starke,John Giesler,Ball,73.6765,,,,,,,9.4259,11.9649,16.4569,True,Tyson Tagger,,,,,,,,,
6,46,Ty Starke,John Giesler,Foul Ball,73.5993,,,,,,,10.5637,13.4819,17.5587,False,,,,,,,,,,
6,46,Ty Starke,John Giesler,Ball,85.5761,,,,,,,9.6767,12.1854,14.9264,True,Tyson Tagger,,,,,,,,,
6,46,Ty Starke,John Giesler,Foul Ball,84.2271,,,,,,,10.4703,14.1093,16.849,False,,,,,,,,,,
6,46,Ty Starke,John Giesler,Foul Ball,84.085,,,,,,,13.9305,16.7914,17.6623,False,,,,,,,,,,
6,46,Ty Starke,John Giesler,Strike Swinging Strike Out Swinging,76.0976,,,,,,,10.9846,13.4142,17.643,True,Tyson Tagger,,,,,,,,,
6,47,Ty Starke,Carson Kerce,Ball,74.0081,,,,,,,11.2908,13.0738,17.4902,True,Tyson Tagger,,,,,,,,,
6,47,Ty Starke,Carson Kerce,Strike Looking,74.9154,,,,,,,13.1249,15.3871,16.2245,True,Tyson Tagger,,,,,,,,,
6,47,Ty Starke,Carson Kerce,In Play Single,83.2125,4.089,18.9893,28.8241,-15.0084,7.8917,18.6211,11.6621,14.2524,16.4854,True,Munroe Jake,,99.78,48.549,0.396,3.7006,0.528,69.3337,95.0398,15.8222
6,48,Ty Starke,Drew Rogers,Strike Looking,73.1969,,,,,,,18.595,20.3456,20.9926,True,Tyson Tagger,,,,,,,,,
6,48,Ty Starke,Drew Rogers,Foul Ball,83.9344,,,,,,,18.6222,20.4006,20.9418,False,,,,,,,,,,
6,48,Ty Starke,Drew Rogers,In Play Error,73.4563,4.714,17.6573,86.3272,8.6512,137.1132,19.8327,16.5696,19.3097,21.7316,True,King Jr. Eddie,0.00,98.62,56.8126,1.155,0.2852,1.452,79.6073,161.21,14.2963
6,49,Brennyn Cutts,Drew Burress,Ball,91.3087,,,,,,,12.7937,16.6133,19.3591,True,Tyson Tagger,,,,,,,,,
6,49,Brennyn Cutts,Drew Burress,In Play Single,76.998,4.637,17.4297,90.3741,11.9518,184.3056,16.187,12.3914,15.1326,16.5861,True,Rose Zion,0.00,90.74,25.3751,1.056,1.9364,1.485,56.3204,129.2165,8.4434
